id,start_x,start_y,end_x,end_y,length,wkt
11,329221.4756178118,2791979.1973568057,329252.8755994424,2791983.398552802,482.40181812957235,"LINESTRING (329221.4756178118 2791979.1973568057, 329213.8152388202 2791963.031405597, 329205.650543905 2791947.6251317826, 329202.8303156189 2791939.7288185908, 329200.01064353966 2791931.876811137, 329196.62944628147 2791924.242374505, 329192.72744084947 2791916.8582294043, 329188.67067734036 2791909.1880083526, 329185.36531274195 2791901.1759620775, 329183.2866555458 2791894.5553496024, 329181.9312736037 2791887.7594372043, 329181.32015608664 2791880.8544283095, 329181.4443478959 2791873.9290605667, 329182.3248382733 2791867.0495376405, 329183.7587279773 2791860.9052615836, 329185.870138041 2791854.9518401227, 329188.6299635712 2791849.278265595, 329191.9984656288 2791843.9293522844, 329196.9105027274 2791837.9295095806, 329202.5974455632 2791832.651042984, 329208.94959068793 2791828.183962462, 329216.14547517017 2791825.102076019, 329223.6128085023 2791822.7700776774, 329231.28134622506 2791821.211010278, 329238.6978658596 2791820.4416704974, 329246.1538332885 2791820.4029901484, 329253.58865944296 2791821.0846555284, 329260.9203483403 2791822.3769201892, 329292.9133690399 2791828.033056741, 329300.558325724 2791830.196558805, 329307.99967412156 2791832.99408307, 329315.1667509745 2791836.4154422446, 329321.124723978 2791839.840975008, 329326.6178447048 2791843.95921276, 329331.56467746844 2791848.7047134247, 329335.90407593234 2791854.0228571137, 329339.554325761 2791859.826049103, 329342.47387192445 2791866.015110239, 329344.61150402436 2791872.524217424, 329345.94553748914 2791879.231785014, 329346.61604070634 2791886.058500167, 329346.43047939567 2791892.918166053, 329345.37738355534 2791899.700146717, 329343.48558160086 2791906.293298212, 329340.8135668989 2791912.5417903536, 329337.533167334 2791918.487769139, 329333.6841231309 2791924.0864216043, 329329.3060346254 2791929.281858493, 329324.3390131146 2791934.1191478968, 329318.9119331272 2791938.430494029, 329313.0748879628 2791942.1931094844, 329310.8350825413 2791943.5618055975, 329288.53751883365 2791957.225365194, 329282.7528187542 2791961.1424277234, 329277.2825297854 2791965.2216978148, 329272.1500148681 2791969.71767611, 329267.3954327529 2791974.6187775326, 329252.8755994424 2791983.398552802)"
12,329160.10621883324,2792028.250216337,329252.8755994424,2791983.398552802,112.29670558169109,"LINESTRING (329160.10621883324 2792028.250216337, 329164.9462583397 2792036.5087573295, 329176.8170616993 2792029.412951447, 329243.09576702595 2791989.315782571, 329252.8755994424 2791983.398552802)"
13,329661.5188423699,2792767.350215046,329297.58025984745,2792263.5087580336,630.9037219670547,"LINESTRING (329661.5188423699 2792767.350215046, 329512.4360125295 2792587.8689689967, 329498.8305692791 2792572.4203338847, 329483.49569558376 2792557.259379931, 329468.14692166337 2792542.597129752, 329425.9129048351 2792504.51133642, 329413.0581773673 2792491.080600276, 329400.8607798539 2792477.043370687, 329389.3716426545 2792462.443316052, 329378.6011204624 2792447.302460241, 329368.5799960672 2792431.664725769, 329360.08004272054 2792416.805435125, 329352.4909613899 2792401.4693818428, 329345.81345308665 2792385.7119461293, 329329.9162415705 2792343.572035413, 329327.82662369066 2792338.46924165, 329324.8161761217 2792333.8544202745, 329320.97766260034 2792329.8925729417, 329316.4537997608 2792326.7148370584, 329297.58025984745 2792263.5087580336)"
14,329271.2675626818,2792015.580968972,329463.6140987645,2791907.8808912034,220.6710543532195,"LINESTRING (329271.2675626818 2792015.580968972, 329288.45982381894 2792004.5851191496, 329310.1076123109 2791992.1372587234, 329332.22389773 2791980.082338247, 329374.55765296746 2791956.406442664, 329418.8564701843 2791934.3343977397, 329430.61536124634 2791928.735780202, 329442.0227912335 2791922.432606673, 329453.03916105174 2791915.4807657176, 329463.6140987645 2791907.8808912034)"
15,329259.5194140171,2792022.819155232,329271.2675626818,2792015.580968972,13.798925225751967,"LINESTRING (329259.5194140171 2792022.819155232, 329271.2675626818 2792015.580968972)"
16,329218.45526332123,2792071.2167729954,329259.5194140171,2792022.819155232,143.82262615619675,"LINESTRING (329218.45526332123 2792071.2167729954, 329207.1832270026 2792077.0531636626, 329189.6055115823 2792086.2371882573, 329184.42507537303 2792077.351486112, 329180.05841474247 2792069.8735081377, 329195.70156110206 2792060.691733291, 329246.902060644 2792030.6443799557, 329259.5194140171 2792022.819155232)"
17,329250.1300773256,2792050.898690909,329259.5194140171,2792022.819155232,42.97010918525412,"LINESTRING (329250.1300773256 2792050.898690909, 329254.33090799185 2792048.4306666134, 329270.37417112873 2792039.0112955123, 329264.37675940996 2792030.0583260953, 329259.5194140171 2792022.819155232)"
18,329747.0171019742,2793857.297592472,329771.97182185686,2793928.492412414,75.44163592480683,"LINESTRING (329747.0171019742 2793857.297592472, 329771.97182185686 2793928.492412414)"
19,329749.89389957953,2793940.9562447146,329747.0171019742,2793857.297592472,85.4304840021422,"LINESTRING (329749.89389957953 2793940.9562447146, 329752.773315544 2793932.799761817, 329754.1311069401 2793925.4157460397, 329754.38911904884 2793917.901561529, 329753.54958125 2793910.4344292614, 329751.4316180869 2793899.050675018, 329746.4281077279 2793877.7329812613, 329745.52071192756 2793873.6787513825, 329745.126069634 2793869.5405193134, 329745.24515749345 2793865.395819281, 329745.8785337852 2793861.2889566133, 329747.0171019742 2793857.297592472)"
20,329705.4404241063,2793719.8325705775,329747.0171019742,2793857.297592472,143.61531845104997,"LINESTRING (329705.4404241063 2793719.8325705775, 329717.1657138384 2793758.0926172254, 329747.0171019742 2793857.297592472)"
